CPT_id	rootSource	name	obsolete	atomCount	concepts
0019M	CPT	Cardiovascular disease, plasma, analysis of protein biomarkers by aptamer-based microarray and algorithm reported as 4-year likelihood of coronary event in high-risk populations	False	4	C5852380;C5852381
0019U	CPT	Oncology, RNA, gene expression by whole transcriptome sequencing, formalin-fixed paraffin-embedded tissue or fresh frozen tissue, predictive algorithm reported as potential targets for therapeutic agents	False	6	C4732275;C4732276;C4732277;C4542815
0020M	CPT	Oncology (central nervous system), analysis of 30000 DNA methylation loci by methylation array, utilizing DNA extracted from tumor tissue, diagnostic algorithm reported as probability of matching a reference tumor subclass	False	4	C5945047;C5945048
0021U	CPT	Oncology (prostate), detection of 8 autoantibodies (ARF 6, NKX3-1, 5'-UTR-BMI1, CEP 164, 3'-UTR-Ropporin, Desmocollin, AURKAIP-1, CSNK2A2), multiplexed immunoassay and flow cytometry serum, algorithm reported as risk score	False	5	C4542816;C4732279;C4732280
0022U	CPT	Targeted genomic sequence analysis panel, non-small cell lung neoplasia, DNA and RNA analysis, 23 genes, interrogation for sequence variants and rearrangements, reported as presence or absence of variants and associated therapy(ies) to consider	False	5	C4542817;C5851832;C5851833
0023U	CPT	Oncology (acute myelogenous leukemia), DNA, genotyping of internal tandem duplication, p.D835, p.I836, using mononuclear cells, reported as detection or non-detection of FLT3 mutation and indication for or against the use of midostaurin	False	5	C5414395;C4732283;C4542818
0024U	CPT	Glycosylated acute phase proteins (GlycA), nuclear magnetic resonance spectroscopy, quantitative	False	5	C5414396;C4732285;C4732286
0025U	CPT	Tenofovir, by liquid chromatography with tandem mass spectrometry (LC-MS/MS), urine, quantitative	False	5	C4732289;C5414397;C4732288
0026U	CPT	Oncology (thyroid), DNA and mRNA of 112 genes, next-generation sequencing, fine needle aspirate of thyroid nodule, algorithmic analysis reported as a categorical result ("Positive, high probability of malignancy" or "Negative, low probability of malignancy")	False	5	C5414398;C4732291;C4732292
0027U	CPT	JAK2 (Janus kinase 2) (eg, myeloproliferative disorder) gene analysis, targeted sequence analysis exons 12-15	False	5	C4732294;C5414399;C4732295
0029U	CPT	Drug metabolism (adverse drug reactions and drug response), targeted sequence analysis (ie, CYP1A2, CYP2C19, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP4F2, SLCO1B1, VKORC1 and rs12777823)	False	5	C5414400;C4732298;C4732299
0030U	CPT	Drug metabolism (warfarin drug response), targeted sequence analysis (ie, CYP2C9, CYP4F2, VKORC1, rs12777823)	False	5	C4732302;C5414401;C4732301
0031U	CPT	CYP1A2 (cytochrome P450 family 1, subfamily A, member 2) (eg, drug metabolism) gene analysis, common variants (ie, *1F, *1K, *6, *7)	False	5	C4722651;C4732305;C4732304
0032U	CPT	COMT (catechol-O-methyltransferase) (eg, drug metabolism) gene analysis, c.472G>A (rs4680) variant	False	5	C4724362;C4732307;C4732306
0034U	CPT	TPMT (thiopurine S-methyltransferase), NUDT15 (nudix hydroxylase 15) (eg, thiopurine metabolism) gene analysis, common variants (ie, TPMT *2, *3A, *3B, *3C, *4, *5, *6, *8, *12; NUDT15 *3, *4, *5)	False	5	C3708795;C4732311;C4732312
0035U	CPT	Neurology (prion disease), cerebrospinal fluid, detection of prion protein by quaking-induced conformational conversion, qualitative	False	5	C4732313;C4732315;C4732314
0036U	CPT	Exome (ie, somatic mutations), paired formalin-fixed paraffin-embedded tumor tissue and normal specimen, sequence analyses	False	5	C4732316;C4732317;C4732318
0037U	CPT	Targeted genomic sequence analysis, solid organ neoplasm, DNA analysis of 324 genes, interrogation for sequence variants, gene copy number amplifications, gene rearrangements, microsatellite instability and tumor mutational burden	False	5	C4732321;C4732319;C4732320
0038U	CPT	Vitamin D, 25 hydroxy D2 and D3, by LC-MS/MS, serum microsample, quantitative	False	5	C5414402;C4732322;C0428586
0039U	CPT	Deoxyribonucleic acid (DNA) antibody, double stranded, high avidity	False	5	C0236300;C4732324;C4732325
0040U	CPT	BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis, major breakpoint, quantitative	False	5	C4732326;C4732327;C5414403
0041U	CPT	Borrelia burgdorferi, antibody detection of 5 recombinant protein groups, by immunoblot, IgM	False	5	C4732330;C4732331;C4732329
0042U	CPT	Borrelia burgdorferi, antibody detection of 12 recombinant protein groups, by immunoblot, IgG	False	5	C4732334;C4732332;C4732333
0043U	CPT	Tick-borne relapsing fever Borrelia group, antibody detection to 4 recombinant protein groups, by immunoblot, IgM	False	5	C5414405;C5414404;C4732335
0044U	CPT	Tick-borne relapsing fever Borrelia group, antibody detection to 4 recombinant protein groups, by immunoblot, IgG	False	5	C4732338;C5414406;C4732336
0045U	CPT	Oncology (breast ductal carcinoma in situ), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score	False	5	C5414407;C4732341;C4732340
0046U	CPT	FLT3 (fms-related tyrosine kinase 3) (eg, acute myeloid leukemia) internal tandem duplication (ITD) variants, quantitative	False	5	C5414408;C4732343;C3516223
0047U	CPT	Oncology (prostate), mRNA, gene expression profiling by real-time RT-PCR of 17 genes (12 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a risk score	False	5	C5414409;C4732346;C4732345
0048U	CPT	Oncology (solid organ neoplasia), DNA, targeted sequencing of protein-coding exons of 468 cancer-associated genes, including interrogation for somatic mutations and microsatellite instability, matched with normal specimens, utilizing formalin-fixed paraffin-embedded tumor tissue, report of clinically significant mutation(s)	False	5	C4732349;C5414410;C4732348
0049U	CPT	NPM1 (nucleophosmin) (eg, acute myeloid leukemia) gene analysis, quantitative	False	5	C4732351;C4732352;C4732353
0050U	CPT	Targeted genomic sequence analysis panel, acute myelogenous leukemia, DNA analysis, 194 genes, interrogation for sequence variants, copy number variants or rearrangements	False	5	C4732355;C4732354;C4732356
0051U	CPT	Prescription drug monitoring, evaluation of drugs present by liquid chromatography tandem mass spectrometry (LC-MS/MS), urine or blood, 31 drug panel, reported as quantitative results, detected or not detected, per date of service	False	6	C5696560;C5698178;C5698179;C4732357
0052U	CPT	Lipoprotein, blood, high resolution fractionation and quantitation of lipoproteins, including all five major lipoprotein classes and subclasses of HDL, LDL, and VLDL by vertical auto profile ultracentrifugation	False	5	C5414412;C4732360;C4732361
0054U	CPT	Prescription drug monitoring, 14 or more classes of drugs and substances, definitive tandem mass spectrometry with chromatography, capillary blood, quantitative report with therapeutic and toxic ranges, including steady-state range for the prescribed dose when detected, per date of service	False	5	C4732367;C4732369;C4732366
0055U	CPT	Cardiology (heart transplant), cell-free DNA, PCR assay of 96 DNA target sequences (94 single nucleotide polymorphism targets and two control targets), plasma	False	5	C5414414;C4732371;C4732370
0058U	CPT	Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus oncoprotein (small T antigen), serum, quantitative	False	5	C4722652;C5414415;C4732380
0059U	CPT	Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus capsid protein (VP1), serum, reported as positive or negative	False	5	C5414416;C4732381;C4732382
0060U	CPT	Twin zygosity, genomic-targeted sequence analysis of chromosome 2, using circulating cell-free fetal DNA in maternal blood	False	5	C4732384;C5414417;C4732385
0061U	CPT	Transcutaneous measurement of five biomarkers (tissue oxygenation [StO2], oxyhemoglobin [ctHbO2], deoxyhemoglobin [ctHbR], papillary and reticular dermal hemoglobin concentrations [ctHb1 and ctHb2]), using spatial frequency domain imaging (SFDI) and multi-spectral analysis	False	5	C4732387;C4732388;C5414418
0062U	CPT	Autoimmune (systemic lupus erythematosus), IgG and IgM analysis of 80 biomarkers, utilizing serum, algorithm reported with a risk score	False	5	C5202015;C4746523;C5202014
0063U	CPT	Neurology (autism), 32 amines by LC-MS/MS, using plasma, algorithm reported as metabolic signature associated with autism spectrum disorder	False	5	C5414419;C4746524;C5202016
0064U	CPT	Antibody, Treponema pallidum, total and rapid plasma reagin (RPR), immunoassay, qualitative	False	5	C4746525;C5202018;C5414420
0065U	CPT	Syphilis test, non-treponemal antibody, immunoassay, qualitative (RPR)	False	5	C4722653;C5202020;C5414421
0066U					
0067U	CPT	Oncology (breast), immunohistochemistry, protein expression profiling of 4 biomarkers (matrix metalloproteinase-1 [MMP-1], carcinoembryonic antigen-related cell adhesion molecule 6 [CEACAM6], hyaluronoglucosaminidase [HYAL1], highly expressed in cancer protein [HEC1]), formalin-fixed paraffin-embedded precancerous breast tissue, algorithm reported as carcinoma risk score	False	5	C5202024;C4746527;C5202025
0068U	CPT	Candida species panel (C. albicans, C. glabrata, C. parapsilosis, C. kruseii, C. tropicalis, and C. auris), amplified probe technique with qualitative report of the presence or absence of each species	False	5	C5202026;C4746528;C5202027
0069U	CPT	Oncology (colorectal), microRNA, RT-PCR expression profiling of miR-31-3p, formalin-fixed paraffin-embedded tissue, algorithm reported as an expression score	False	5	C5414423;C4746529;C5202028
0070U	CPT	CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, common and select rare variants (ie, *2, *3, *4, *4N, *5, *6, *7, *8, *9, *10, *11, *12, *13, *14A, *14B, *15, *17, *29, *35, *36, *41, *57, *61, *63, *68, *83, *xN)	False	5	C4746530;C5202030;C5202031
0071U	CPT	CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, full gene sequence (List separately in addition to code for primary procedure)	False	5	C5201275;C5202033;C5202032
0072U	CPT	CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, CYP2D6-2D7 hybrid gene) (List separately in addition to code for primary procedure)	False	5	C4746531;C5202034;C5414424
0073U	CPT	CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, CYP2D7-2D6 hybrid gene) (List separately in addition to code for primary procedure)	False	5	C4746532;C5202036;C5414425
0074U	CPT	CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, non-duplicated gene when duplication/multiplication is trans) (List separately in addition to code for primary procedure)	False	5	C4746533;C5202038;C5414426
0075U	CPT	CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 5' gene duplication/multiplication) (List separately in addition to code for primary procedure)	False	5	C4746534;C5202040;C5414427
0076U	CPT	CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 3' gene duplication/multiplication) (List separately in addition to code for primary procedure)	False	5	C4746535;C5202042;C5202041
0077U	CPT	Immunoglobulin paraprotein (M-protein), qualitative, immunoprecipitation and mass spectrometry, blood or urine, including isotype	False	6	C5202045;C4746536;C5202044;C5202043
0078U					
0080U	CPT	Oncology (lung), mass spectrometric analysis of galectin-3-binding protein and scavenger receptor cysteine-rich type 1 protein M130, with five clinical risk factors (age, smoking status, nodule diameter, nodule-spiculation status and nodule location), utilizing plasma, algorithm reported as a categorical probability of malignancy	False	5	C4746539;C5202050;C5414430
0082U	CPT	Drug test(s), definitive, 90 or more drugs or substances, definitive chromatography with mass spectrometry, and presumptive, any number of drug classes, by instrument chemistry analyzer (utilizing immunoassay), urine, report of presence or absence of each drug, drug metabolite or substance with description and severity of significant interactions per date of service	False	6	C5414432;C5414431;C4746541;C5202053
0083U	CPT	Oncology, response to chemotherapy drugs using motility contrast tomography, fresh or frozen tissue, reported as likelihood of sensitivity or resistance to drugs or drug combinations	False	6	C4746542;C5202056;C5202057;C5202055
0084U	CPT	Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens	False	5	C5202059;C5202058;C5202060
0086U	CPT	Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism targets, reported as positive or negative with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility	False	5	C5202065;C5202067;C5202066
0087U	CPT	Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score	False	5	C5202070;C5202071;C5202072
0088U	CPT	Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection	False	5	C5202073;C5202075;C5202074
0089U	CPT	Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)	False	5	C5414433;C5202077;C5202076
0090U	CPT	Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded (FFPE) tissue, algorithm reported as a categorical result (ie, benign, intermediate, malignant)	False	5	C5202080;C5202081
0092U	CPT	Oncology (lung), three protein biomarkers, immunoassay using magnetic nanosensor technology, plasma, algorithm reported as risk score for likelihood of malignancy	False	5	C5202086;C5202088;C5202087
0093U	CPT	Prescription drug monitoring, evaluation of 65 common drugs by LC-MS/MS, urine, each drug reported detected or not detected	False	5	C5202089;C5202090;C5414436
0094U	CPT	Genome (eg, unexplained constitutional or heritable disorder or syndrome), rapid sequence analysis	False	7	C5202092;C5202095;C5202093;C5202094
0095U	CPT	Eosinophilic esophagitis (Eotaxin-3 [CCL26 {C-C motif chemokine ligand 26}] and major basic protein [PRG2 {proteoglycan 2, pro eosinophil major basic protein}]), enzyme-linked immunosorbent assays (ELISA), specimen obtained by esophageal string test device, algorithm reported as probability of active or inactive eosinophilic esophagitis	False	5	C5202096;C5202097
0096U	CPT	Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine	False	5	C5202099;C5202100;C5202101
0101U	CPT	Hereditary colon cancer disorders (eg, Lynch syndrome, PTEN hamartoma syndrome, Cowden syndrome, familial adenomatosis polyposis), genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with mRNA analytics to resolve variants of unknown significance when indicated (15 genes [sequencing and deletion/duplication], EPCAM and GREM1 [deletion/duplication only])	False	5	C5202114;C5202115;C5414441
0102U	CPT	Hereditary breast cancer-related disorders (eg, hereditary breast cancer, hereditary ovarian cancer, hereditary endometrial cancer), genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with mRNA analytics to resolve variants of unknown significance when indicated (17 genes [sequencing and deletion/duplication])	False	5	C5202117;C5202118;C5414442
0103U	CPT	Hereditary ovarian cancer (eg, hereditary ovarian cancer, hereditary endometrial cancer), genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with mRNA analytics to resolve variants of unknown significance when indicated (24 genes [sequencing and deletion/duplication], EPCAM [deletion/duplication only])	False	5	C5202121;C5202120;C5414443
0105U	CPT	Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)	False	8	C5414447;C5414444;C5202123;C5202124;C5414446;C5414445
0106U	CPT	Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope ratio mass spectrometry, reported as rate of 13CO2 excretion	False	5	C5202129;C5702108;C5414448
0107U	CPT	Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method	False	5	C5414449;C5202132;C5202133
0108U	CPT	Gastroenterology (Barrett's esophagus), whole slide-digital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin-embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer	False	5	C5414450;C5202135;C5202136
0109U	CPT	Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species	False	7	C5414453;C5414451;C5202139;C5202138;C5414452
0110U	CPT	Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected	False	20	C5414458;C5414461;C5414466;C5414454;C5414455;C5414456;C5414467;C5414469;C5202144;C5202143;C5414460;C5414463;C5414464;C5414465;C5414468;C5414457;C5414459;C5414462
0111U	CPT	Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis, utilizing formalin-fixed paraffin-embedded tissue	False	5	C5202153;C5202154;C5414470
0112U	CPT	Infectious agent detection and identification, targeted sequence analysis (16S and 18S rRNA genes) with drug-resistance gene	False	5	C5202157;C5202156;C5414471
0113U	CPT	Oncology (prostate), measurement of PCA3 and TMPRSS2-ERG in urine and PSA in serum following prostatic massage, by RNA amplification and fluorescence-based detection, algorithm reported as risk score	False	5	C5202159;C5202160;C5202161
0114U	CPT	Gastroenterology (Barrett's esophagus), VIM and CCNA1 methylation analysis, esophageal cells, algorithm reported as likelihood for Barrett's esophagus	False	5	C5202162;C5202163;C5202164
0115U	CPT	Respiratory infectious agent detection by nucleic acid (DNA and RNA), 18 viral types and subtypes and 2 bacterial targets, amplified probe technique, including multiplex reverse transcription for RNA targets, each analyte reported as detected or not detected	False	5	C5202165;C5202166;C5202167
0116U	CPT	Prescription drug monitoring, enzyme immunoassay of 35 or more drugs confirmed with LC-MS/MS, oral fluid, algorithm results reported as a patient-compliance measurement with risk of drug to drug interactions for prescribed medications	False	5	C5202168;C5202169;C5414472
0117U	CPT	Pain management, analysis of 11 endogenous analytes (methylmalonic acid, xanthurenic acid, homocysteine, pyroglutamic acid, vanilmandelate, 5-hydroxyindoleacetic acid, hydroxymethylglutarate, ethylmalonate, 3-hydroxypropyl mercapturic acid (3-HPMA), quinolinic acid, kynurenic acid), LC-MS/MS, urine, algorithm reported as a pain-index score with likelihood of atypical biochemical function associated with pain	False	5	C5202171;C5202172;C5414473
0118U	CPT	Transplantation medicine, quantification of donor-derived cell-free DNA using whole genome next-generation sequencing, plasma, reported as percentage of donor-derived cell-free DNA in the total cell-free DNA	False	5	C5202174;C5202175;C5202176
0119U	CPT	Cardiology, ceramides by liquid chromatography-tandem mass spectrometry, plasma, quantitative report with risk score for major cardiovascular events	False	5	C5414474;C5202177;C5202178
0120U	CPT	Oncology (B-cell lymphoma classification), mRNA, gene expression profiling by fluorescent probe hybridization of 58 genes (45 content and 13 housekeeping genes), formalin-fixed paraffin-embedded tissue, algorithm reported as likelihood for primary mediastinal B-cell lymphoma (PMBCL) and diffuse large B-cell lymphoma (DLBCL) with cell of origin subtyping in the latter	False	5	C5202180;C5202182;C5202181
0121U	CPT	Sickle cell disease, microfluidic flow adhesion (VCAM-1), whole blood	False	5	C5202183;C5202184;C5414475
0122U	CPT	Sickle cell disease, microfluidic flow adhesion (P-Selectin), whole blood	False	5	C5202188;C5202186;C5202187
0123U	CPT	Mechanical fragility, RBC, shear stress and spectral analysis profiling	False	5	C5202189;C5202190;C5414476
0129U	CPT	Hereditary breast cancer-related disorders (eg, hereditary breast cancer, hereditary ovarian cancer, hereditary endometrial cancer), genomic sequence analysis and deletion/duplication analysis panel (ATM, BRCA1, BRCA2, CDH1, CHEK2, PALB2, PTEN, and TP53)	False	5	C5202207;C5202208;C5414477
0130U	CPT	Hereditary colon cancer disorders (eg, Lynch syndrome, PTEN hamartoma syndrome, Cowden syndrome, familial adenomatosis polyposis), targeted mRNA sequence analysis panel (APC, CDH1, CHEK2, MLH1, MSH2, MSH6, MUTYH, PMS2, PTEN, and TP53) (List separately in addition to code for primary procedure)	False	5	C5414478;C5202210;C5202211
0133U	CPT	Hereditary prostate cancer-related disorders, targeted mRNA sequence analysis panel (11 genes) (List separately in addition to code for primary procedure)	False	5	C5202220;C5202219;C5414480
0134U	CPT	Hereditary pan cancer (eg, hereditary breast and ovarian cancer, hereditary endometrial cancer, hereditary colorectal cancer), targeted mRNA sequence analysis panel (18 genes) (List separately in addition to code for primary procedure)	False	5	C5202222;C5202223;C5414481
0136U	CPT	ATM (ataxia telangiectasia mutated) (eg, ataxia telangiectasia) mRNA sequence analysis (List separately in addition to code for primary procedure)	False	5	C5202229;C5202228;C5202230
0137U	CPT	PALB2 (partner and localizer of BRCA2) (eg, breast and pancreatic cancer) mRNA sequence analysis (List separately in addition to code for primary procedure)	False	5	C5202231;C5202232;C5414483
0138U	CPT	BRCA1 (BRCA1, DNA repair associated), BRCA2 (BRCA2, DNA repair associated) (eg, hereditary breast and ovarian cancer) mRNA sequence analysis (List separately in addition to code for primary procedure)	False	5	C5202234;C5202235;C5414484
0140U	CPT	Infectious disease (fungi), fungal pathogen identification, DNA (15 fungal targets), blood culture, amplified probe technique, each target reported as detected or not detected	False	5	C5229224;C5414487;C5414488
0141U	CPT	Infectious disease (bacteria and fungi), gram-positive organism identification and drug resistance element detection, DNA (20 gram-positive bacterial targets, 4 resistance genes, 1 pan gram-negative bacterial target, 1 pan Candida target), blood culture, amplified probe technique, each target reported as detected or not detected	False	5	C5414489;C5229225;C5414490
0142U	CPT	Infectious disease (bacteria and fungi), gram-negative bacterial identification and drug resistance element detection, DNA (21 gram-negative bacterial targets, 6 resistance genes, 1 pan gram-positive bacterial target, 1 pan Candida target), amplified probe technique, each target reported as detected or not detected	False	5	C5414491;C5414492;C5229226
0152U	CPT	Infectious disease (bacteria, fungi, parasites, and DNA viruses), microbial cell-free DNA, plasma, untargeted next-generation sequencing, report for significant positive pathogens	False	5	C5229235;C5698180;C5696561
0153U	CPT	Oncology (breast), mRNA, gene expression profiling by next-generation sequencing of 101 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a triple negative breast cancer clinical subtype(s) with information on immune cell involvement	False	5	C5414514;C5229236;C5414513
